date,open,close,high,low,volume,amount,amplitude,change_pct,change_val,turnover
2011-10-12,2537.40,2644.76,2647.01,2523.34,65945680,62822831798.00,4.85,3.64,92.77,0.20
2011-10-27,2658.43,2657.48,2672.84,2647.30,48820391,47403219262.00,0.96,0.22,5.83,0.15
2011-11-11,2705.24,2695.00,2713.91,2685.10,36636696,38724219259.00,1.07,-0.17,-4.59,0.11
2011-11-25,2585.14,2569.97,2598.39,2563.65,23913766,27509358470.00,1.34,-0.73,-18.95,0.07
2011-12-12,2497.92,2477.69,2502.05,2476.12,21901249,21200444065.00,1.04,-1.03,-25.77,0.07
2011-12-27,2332.83,2305.03,2346.38,2302.41,29277314,26777021276.00,1.88,-1.31,-30.67,0.09
2012-01-13,2438.41,2394.33,2445.79,2374.54,45513997,47228338588.00,2.93,-1.68,-40.89,0.14
2012-02-06,2511.17,2504.32,2520.76,2488.71,45079905,47541523547.00,1.28,-0.07,-1.77,0.14
2012-02-21,2544.83,2562.45,2562.91,2520.79,47894808,47758225547.00,1.66,0.86,21.74,0.15
2012-03-07,2596.48,2603.00,2628.58,2594.13,56948733,63243293004.00,1.31,-0.69,-18.05,0.17
2012-03-22,2586.94,2583.75,2599.24,2570.45,44926777,50115505934.00,1.11,-0.16,-4.04,0.14
2012-04-11,2494.52,2520.04,2541.13,2489.32,42510310,43627983913.00,2.06,0.01,0.25,0.13
2012-04-26,2632.72,2631.49,2643.77,2617.09,58965667,64377486667.00,1.02,0.21,5.50,0.18
2012-05-15,2597.64,2617.37,2618.18,2591.60,45767271,51374761939.00,1.02,0.07,1.84,0.14
2012-05-30,2646.37,2642.26,2655.16,2636.52,51855436,56976275428.00,0.70,-0.32,-8.59,0.16
2012-06-14,2573.33,2560.42,2584.71,2558.56,40247934,46331822555.00,1.01,-0.78,-20.22,0.12
2012-07-02,2473.54,2465.24,2473.97,2452.99,40510078,45651476527.00,0.85,0.15,3.63,0.12
2012-07-17,2391.90,2414.20,2421.93,2391.28,33424329,38285441648.00,1.28,0.60,14.47,0.10
2012-08-01,2332.13,2358.65,2371.12,2331.95,31420848,31277764382.00,1.68,1.10,25.73,0.10
2012-08-16,2327.91,2319.67,2335.40,2317.06,25902905,27076003542.00,0.79,-0.51,-11.94,0.08
2012-08-31,2205.57,2204.87,2218.87,2203.12,25964986,23340891008.00,0.71,-0.29,-6.50,0.08
2012-09-17,2312.05,2258.71,2314.99,2258.18,48984734,43753169666.00,2.45,-2.45,-56.83,0.15
2012-10-09,2281.75,2320.16,2327.73,2281.75,52548887,48330196363.00,2.03,2.21,50.11,0.16
2012-10-23,2340.89,2312.08,2344.04,2309.25,37221272,33716876575.00,1.49,-1.26,-29.51,0.11
2012-11-07,2288.76,2287.50,2300.89,2277.02,33067403,30278449435.00,1.04,-0.21,-4.71,0.10
2012-11-22,2181.18,2177.55,2185.58,2169.66,22912351,21536153037.00,0.73,-0.79,-17.35,0.07
2012-12-07,2203.89,2246.76,2250.53,2198.11,76169748,64996499283.00,2.38,1.96,43.16,0.23
2012-12-24,2368.01,2381.22,2396.73,2367.04,53087004,54121541302.00,1.25,0.39,9.22,0.16
2013-01-11,2533.50,2483.23,2539.79,2473.70,74239176,72775921987.00,2.61,-1.87,-47.34,0.23
2013-01-28,2577.27,2651.86,2651.97,2577.27,91274790,98173275704.00,2.90,3.12,80.19,0.28
2013-02-19,2735.04,2685.61,2740.74,2674.34,80626431,82460808230.00,2.43,-1.89,-51.86,0.25
2013-03-06,2634.87,2650.20,2658.14,2620.43,95829652,95048891279.00,1.44,1.04,27.39,0.29
2013-03-21,2611.58,2614.99,2626.54,2598.51,69552756,71642665537.00,1.07,0.18,4.82,0.21
2013-04-09,2477.29,2489.43,2505.29,2477.29,52389824,54947035592.00,1.13,0.69,17.13,0.16
2013-04-24,2452.78,2495.58,2511.20,2446.59,63050916,62189421706.00,2.64,1.88,46.11,0.19
2013-05-14,2526.00,2493.34,2526.15,2479.87,54880064,56144573527.00,1.83,-1.48,-37.43,0.17
2013-05-29,2648.93,2642.56,2661.23,2640.88,79277709,81953853231.00,0.77,-0.07,-1.80,0.24
2013-06-18,2413.09,2418.75,2424.20,2393.32,48630379,48792090467.00,1.28,0.62,14.91,0.15
2013-07-03,2211.04,2203.83,2211.04,2169.14,65836022,59536760190.00,1.89,-0.82,-18.15,0.20
