open,close,high,low,volume,amount,amplitude,change_pct,change_val,turnover
4926.35,4950.76,4883.66,132945188.0,219782049792.0,1.36,-0.05,-2.34,0.41,5026.98
5090.52,5095.98,5042.61,123961838.0,254738010112.0,1.05,0.26,13.28,0.38,5115.31
5341.68,5343.75,5269.26,143831475.0,321845841920.0,1.4,0.19,10.11,0.44,5074.38
5081.12,5186.66,5074.36,130426424.0,342578962432.0,2.15,-2.84,-148.54,0.4,5083.73
4934.46,4957.03,4890.85,203533361.0,471194128384.0,1.34,0.01,0.72,0.62,4838.47
4869.41,4892.7,4845.62,267858012.0,465954131968.0,0.97,0.0,-0.05,0.82,4797.11
4940.11,4953.37,4869.83,131142812.0,280044666880.0,1.71,1.15,56.27,0.4,4882.59
4888.37,4909.08,4875.35,132662968.0,271773245440.0,0.69,-0.21,-10.28,0.41,4820.01
5049.7,5075.21,5038.86,159107791.0,318685536256.0,0.72,-0.67,-34.1,0.49,4958.65
4726.73,4764.05,4723.94,146863127.0,281828450304.0,0.84,-0.82,-39.19,0.45,4638.58
4634.31,4646.67,4613.3,112516513.0,215039180800.0,0.72,-0.36,-16.93,0.34,4361.64
4276.52,4287.58,4241.96,117089078.0,226390777856.0,1.07,0.5,21.22,0.36,4203.79
3784.12,3871.85,3773.9,157577610.0,259626352640.0,2.57,-0.81,-30.79,0.48,4015.0
4091.52,4096.2,4020.38,135415514.0,267770089472.0,1.88,1.55,62.5,0.41,4282.08
4466.72,4500.99,4449.29,144779599.0,318492131328.0,1.15,-0.41,-18.29,0.44,4262.15
4107.02,4144.38,4071.43,142224425.0,281013555279.9,1.74,-1.95,-81.66,0.44,4182.57
4043.74,4090.89,4041.13,97387071.0,210898503453.9,1.22,-0.86,-35.1,0.3,3928.42
3727.69,3739.81,3706.06,83944625.0,166800394853.2,0.91,0.18,6.75,0.26,3633.31
3685.69,3701.53,3665.06,103509302.0,183155308702.9,0.98,-0.77,-28.58,0.32,3751.28
3953.44,3983.43,3950.32,125935368.0,227606300936.9,0.83,-1.12,-44.8,0.39,3860.91
4010.03,4043.4,4008.02,99997889.0,203000262960.6,0.88,-0.19,-7.44,0.31,4207.41
4034.51,4104.64,4032.93,116142589.0,225737746955.0,1.75,-1.44,-58.98,0.36,4131.15
3982.38,3982.7,3948.16,145090679.0,251631985016.9,0.88,1.1,43.3,0.44,4084.13
4032.57,4114.26,4031.91,180802435.0,347852011602.5,2.0,-1.96,-80.45,0.55,4005.78
3850.95,3859.63,3815.57,100326439.0,191537814872.5,1.14,0.01,0.45,0.31,3827.33
3821.84,3840.71,3817.38,98289274.0,204110031407.8,0.61,-0.49,-18.96,0.3,3904.6
4014.63,4064.36,4002.08,199606830.0,366544120003.6,1.56,0.55,21.89,0.61,3858.37
3788.51,3813.7,3780.24,129671661.0,226727480838.7,0.88,-0.04,-1.6,0.4,3736.94
3684.73,3694.17,3642.0,102148058.0,178072374748.1,1.41,-0.13,-4.79,0.31,3481.76
3611.07,3627.05,3591.82,110594230.0,192594372352.5,0.97,-0.24,-8.69,0.34,3541.44
3391.28,3404.41,3369.77,97713248.0,160949948197.3,1.02,-0.24,-8.32,0.3,3329.47
3292.5,3304.6,3273.84,109330465.0,172276323045.2,0.94,0.2,6.44,0.33,3245.96
3364.93,3367.21,3336.98,189977578.0,270239765211.0,0.9,0.64,21.3,0.58,3538.37
3577.63,3610.74,3577.19,145571786.0,259553448413.4,0.93,-0.72,-25.9,0.45,3578.68
3530.9,3558.16,3528.02,150579042.0,229511183118.0,0.85,-0.3,-10.76,0.46,3669.09
3635.71,3638.15,3603.71,131272644.0,206143742535.6,0.96,0.95,34.23,0.4,3539.09
3454.12,3471.14,3452.58,114918101.0,174112508796.1,0.53,-0.75,-26.14,0.35,3459.96
3390.74,3408.5,3388.84,109787786.0,166697103823.1,0.58,-0.54,-18.55,0.34,3328.01
3286.5,3305.35,3274.59,92696650.0,135982310964.6,0.93,-0.57,-18.83,0.28,3189.43
4256.1,4450.37,4094.35,589867894.0,1130387437130.1,8.86,5.93,238.25,1.81,3955.32
4024.28,4091.7,4002.5,335807938.0,639124093911.8,2.21,-0.5,-20.29,1.03,3979.46
3973.14,3995.12,3923.9,192057907.0,351751735425.0,1.82,1.31,51.55,0.59,3928.15
3789.22,3810.74,3731.19,169166968.0,300965725432.7,2.1,-0.18,-6.89,0.52,3829.05
3947.4,3955.9,3921.7,213588246.0,430929575563.2,0.87,0.21,8.39,0.65,3865.99
4010.17,4025.3,3989.51,144419428.0,286075300795.3,0.89,0.06,2.45,0.44,3843.42
3784.88,3790.18,3763.14,121355730.0,208085677382.1,0.72,0.33,12.36,0.37,3848.62
3860.11,3884.54,3849.04,109601207.0,208876792148.9,0.91,-0.57,-22.16,0.34,3870.67
3946.02,3964.48,3945.26,165316263.0,328102847495.6,0.49,-0.35,-14.05,0.51,4011.47
4135.82,4146.12,4112.97,222759815.0,406792873973.3,0.8,0.21,8.66,0.68,4123.58
4386.13,4494.91,4386.13,333133898.0,785098482973.5,2.44,-1.49,-66.46,1.02,4448.74
